,student_ids,Grade Average 7,Grade Average 8,Math_7_score,ELA_7_score,Math_8_score,ELA_8_score,Absent Grade 7,Tardy Grade 7,Absent Grade 8,Tardy Grade 8,Gender,Comment_1,Comment_2,Comment_3,Comment_4,Comment_5,Comment_6,Comment_7,Comment_8,target,Absent Total,Tardy Total,Average Grade MS,Average Math Score,Average ELA Score,Num of Above Average Comments,Num of Meets Acceptable Comments,Num of Incomplete Work Comments,Num of Outstanding Effort Comments,Num of Unprepared for Class Comments,Num of Inattentive in Class Comments,Num of Poor Tests Comments,Num of Conscientious Comments,Num of Improvement Noted Comments,Num of Imcomplete Homework Comments,Num of Parent Conference Requested Comments,Num of Poor Class Attendance Comments,Num of Excessive Lateness Comments
10,118171,84,87,3,4,4,4,6,0,2,1,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,8,1,85.5,3.5,4.0,1,5,0,1,0,0,0,0,0,0,0,0,0
11,135610,80,84,4,5,4,5,3,0,13,1,'F',"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '",1,16,1,82.0,4.0,5.0,2,4,0,0,0,0,0,0,0,0,0,0,0
12,117435,80,81,2,5,2,5,2,0,7,2,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'","'Demonstrates above average ability, motivation and attitude in this class--'",'Poor test scores--',1,9,2,80.5,2.0,5.0,2,2,0,0,0,0,1,1,0,0,0,0,0
13,118263,82,83,3,4,4,5,1,2,2,7,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Need put more effort for Chinese','Conscientious about classroom responsibilities--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'",1,3,9,82.5,3.5,4.5,1,3,0,0,0,0,0,1,0,0,0,0,0
14,115257,84,89,4,5,4,5,0,1,2,0,'F','Demonstrates outstanding effort--',"'Demonstrates above average ability, motivation and attitude in this class--'",'Conscientious about classroom responsibilities--','Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",1,2,1,86.5,4.0,5.0,1,3,0,2,0,0,0,1,0,0,0,0,0
15,118506,84,89,4,5,5,5,1,0,0,0,'M',"'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",1,1,0,86.5,4.5,5.0,2,3,0,0,0,0,0,1,0,0,0,0,0
16,117835,88,88,3,5,4,5,3,0,2,0,'F',"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'",'Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,5,0,88.0,3.5,5.0,2,4,0,0,0,0,0,1,0,0,0,0,0
17,117558,80,87,3,4,3,4,2,0,5,11,'F','Incomplete work--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--', No Comment , No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--',1,7,11,83.5,3.0,4.0,0,3,1,1,0,0,0,1,0,0,0,0,0
18,119804,83,87,4,5,4,5,1,0,0,0,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment , No Comment ,'Demonstrates outstanding effort--',1,1,0,85.0,4.0,5.0,0,5,0,1,0,0,0,0,0,0,0,0,0
19,124316,76,74,3,3,2,2,3,1,4,13,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Inattentiveness in class--', No Comment ,'Inattentiveness in class--', No Comment ,'Incomplete homework--','Poor test scores--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,7,14,75.0,2.5,2.5,0,2,0,0,0,2,1,0,0,1,0,0,0
20,115273,80,81,3,4,3,4,2,1,4,0,'M','Demonstrates outstanding effort--',"'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,'Poor test scores--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '",1,6,1,80.5,3.0,4.0,2,2,0,1,0,0,1,0,0,0,0,0,0
21,117468,89,88,4,5,5,5,1,0,3,1,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'",'Demonstrates outstanding effort--',"'Demonstrates above average ability, motivation and attitude in this class--'",1,4,1,88.5,4.5,5.0,3,4,0,1,0,0,0,0,0,0,0,0,0
22,148451,84,88,3,4,4,4,1,0,0,1,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--','Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--', No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'",'Conscientious about classroom responsibilities--',1,1,1,86.0,3.5,4.0,1,2,0,3,0,0,0,1,0,0,0,0,0
23,117560,85,88,4,5,5,5,0,1,2,0,'F','Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'",'Demonstrates outstanding effort--', No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '",1,2,1,86.5,4.5,5.0,2,3,0,2,0,0,0,0,0,0,0,0,0
24,117561,81,87,4,4,4,4,0,0,0,0,'M','In danger of failing.',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'","'Demonstrates above average ability, motivation and attitude in this class--'",1,0,0,84.0,4.0,4.0,3,3,0,0,0,0,0,0,0,0,0,0,0
25,116672,81,85,2,1,4,1,8,14,0,10,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'",'Good work. Satisfactory',1,8,24,83.0,3.0,1.0,2,2,0,1,0,0,0,0,0,0,0,0,0
26,131340,85,88,4,5,4,5,0,0,1,2,'F',"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--', No Comment ,'Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,1,2,86.5,4.0,5.0,1,4,0,1,0,0,0,1,0,0,0,0,0
27,117916,84,80,4,5,3,4,1,9,3,18,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--',"'Demonstrates above average ability, motivation and attitude in this class--'",1,4,27,82.0,3.5,4.5,1,4,0,0,0,0,0,1,0,0,0,0,0
28,123726,78,86,4,4,4,4,10,5,3,16,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--',1,13,21,82.0,4.0,4.0,0,5,0,0,0,0,0,1,0,0,0,0,0
29,117562,85,86,3,4,4,5,12,0,7,2,'F','Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",1,19,2,85.5,3.5,4.5,0,5,0,1,0,0,0,1,0,0,0,0,0
30,118471,80,87,4,4,4,4,5,1,7,1,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'",'Conscientious about classroom responsibilities--',"'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,'Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,12,2,83.5,4.0,4.0,2,3,0,1,0,0,0,1,0,0,0,0,0
31,118147,78,82,3,4,2,4,5,1,2,18,'F','Poor test scores--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--','Incomplete homework--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'",1,7,19,80.0,2.5,4.0,1,2,0,0,0,0,1,1,0,1,0,0,0
32,117122,84,86,4,5,4,4,0,2,2,1,'F',"'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment , No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,2,3,85.0,4.0,4.5,2,3,0,0,0,0,0,0,0,0,0,0,0
33,117563,74,78,2,3,1,3,1,1,0,2,'F','Conscientious about classroom responsibilities--','Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Poor test scores--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,1,3,76.0,1.5,3.0,0,3,0,0,0,0,1,2,0,0,0,0,0
34,125558,79,85,4,4,3,4,5,0,2,0,'M','Poor test scores--','In danger of failing.', No Comment ,'Unprepared for class--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete homework--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,7,0,82.0,3.5,4.0,0,2,0,0,1,0,1,0,0,1,0,0,0
35,118502,80,86,4,4,4,4,0,0,0,7,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Incomplete homework--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'",1,0,7,83.0,4.0,4.0,1,4,0,0,0,0,0,0,0,1,0,0,0
36,141419,82,88,3,4,4,4,4,0,7,1,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '",1,11,1,85.0,3.5,4.0,2,5,0,0,0,0,0,0,0,0,0,0,0
37,116062,85,87,4,5,4,5,5,3,10,15,'F','Good work. Satisfactory','Need put more effort for Chinese',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Demonstrates outstanding effort--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,15,18,86.0,4.0,5.0,0,4,0,1,0,0,0,0,0,0,0,0,0
38,143681,87,88,5,5,4,5,4,0,2,0,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Demonstrates outstanding effort--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'",'Conscientious about classroom responsibilities--',"'Demonstrates above average ability, motivation and attitude in this class--'",1,6,0,87.5,4.5,5.0,2,3,0,1,0,0,0,1,0,0,0,0,0
39,118798,85,87,4,4,4,4,0,0,3,1,'F',"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,'Demonstrates outstanding effort--',1,3,1,86.0,4.0,4.0,2,3,0,1,0,0,0,1,0,0,0,0,0
40,113361,84,89,2,3,2,1,7,0,0,0,'M','Improvement noted--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--', No Comment , No Comment ,'Conscientious about classroom responsibilities--',1,7,0,86.5,2.0,2.0,0,2,0,0,0,0,0,2,1,0,0,0,0
41,116744,88,89,4,5,5,5,2,5,0,3,'F','Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Demonstrates outstanding effort--',"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",1,2,8,88.5,4.5,5.0,1,4,0,1,0,0,0,1,0,0,0,0,0
42,146702,87,86,3,4,4,5,9,1,4,0,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'","'Demonstrates above average ability, motivation and attitude in this class--'","'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--',1,13,1,86.5,3.5,4.5,3,2,0,0,0,0,0,1,0,0,0,0,0
43,117665,85,88,3,4,4,4,0,1,3,6,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--','Demonstrates outstanding effort--', No Comment , No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,3,7,86.5,3.5,4.0,0,3,0,1,0,0,0,2,0,0,0,0,0
44,118247,81,83,3,4,3,4,1,5,1,4,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'",'Demonstrates outstanding effort--','Good Work. Satisfactory',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Demonstrates outstanding effort--',1,2,9,82.0,3.0,4.0,1,3,0,2,0,0,0,0,0,0,0,0,0
45,118503,76,80,3,4,2,4,1,6,0,8,'F','Poor test scores--','Parent conference requested--','Conscientious about classroom responsibilities--', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",1,1,14,78.0,2.5,4.0,0,4,0,0,0,0,1,1,0,0,1,0,0
46,118019,86,88,4,5,4,5,5,2,8,14,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",1,13,16,87.0,4.0,5.0,1,5,0,0,0,0,0,0,0,0,0,0,0
47,127392,83,88,4,4,4,4,2,1,7,15,'F',"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Demonstrates outstanding effort--',"'Demonstrates above average ability, motivation and attitude in this class--'","'Demonstrates above average ability, motivation and attitude in this class--'", No Comment , No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,9,16,85.5,4.0,4.0,2,2,0,1,0,0,0,0,0,0,0,0,0
48,117424,77,79,3,4,3,3,6,1,1,18,'F','Incomplete homework--', No Comment ,'Conscientious about classroom responsibilities--', No Comment ,'Good work. Satisfactory','Incomplete homework--', No Comment ,'Incomplete homework--',1,7,19,78.0,3.0,3.5,0,0,0,0,0,0,0,1,0,3,0,0,0
49,117582,86,85,3,5,4,5,0,1,0,1,'F','Need put more effort for Chinese',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'",'Demonstrates outstanding effort--',1,0,2,85.5,3.5,5.0,2,2,0,1,0,0,0,0,0,0,0,0,0
50,127172,81,83,5,5,5,5,8,7,8,8,'M', No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete work--','Need put more effort for Chinese', No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'",'Incomplete homework--',"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,16,15,82.0,5.0,5.0,1,2,1,0,0,0,0,0,0,1,0,0,0
51,134673,85,85,4,4,4,5,3,1,3,1,'M',"'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete homework--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'",1,6,2,85.0,4.0,4.5,2,3,0,0,0,0,0,0,0,1,0,0,0
52,122317,84,85,3,5,3,5,8,0,13,0,'F','Need put more effort for Chinese',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'",'Poor test scores--',1,21,0,84.5,3.0,5.0,2,2,0,0,0,0,1,0,0,0,0,0,0
53,120456,79,87,3,2,4,4,3,3,2,5,'F','Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",1,5,8,83.0,3.5,3.0,1,5,0,0,0,0,0,1,0,0,0,0,0
54,118031,85,89,4,5,5,5,0,0,3,1,'M',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Late assignments = points off --', No Comment ,"'Demonstrates above average ability, motivation and attitude in this class--'","'Demonstrates above average ability, motivation and attitude in this class--'",'Conscientious about classroom responsibilities--',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '",1,3,1,87.0,4.5,5.0,2,3,0,0,0,0,0,1,0,0,0,0,0
55,117483,0,85,0,0,4,4,0,0,4,4,'F','Need put more effort for Chinese',"'Meets acceptable standards of cooperation, work, attitude and effort - '",'Incomplete homework--',"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,'Demonstrates outstanding effort--',1,4,4,42.5,2.0,2.0,2,2,0,1,0,0,0,0,0,1,0,0,0
56,119553,83,88,4,5,4,5,2,3,5,9,'F',"'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '", No Comment ,'Poor test scores--',1,7,12,85.5,4.0,5.0,2,4,0,0,0,0,1,0,0,0,0,0,0
57,117464,85,88,5,5,5,5,6,0,5,4,'F','I assigned a quiz twice on Google classroom and she did not do it.',"'Meets acceptable standards of cooperation, work, attitude and effort - '","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'","'Meets acceptable standards of cooperation, work, attitude and effort - '","'Demonstrates above average ability, motivation and attitude in this class--'", No Comment ,"'Meets acceptable standards of cooperation, work, attitude and effort - '",1,11,4,86.5,5.0,5.0,2,4,0,0,0,0,0,0,0,0,0,0,0
